"date","hits","keyword","geo","time","gprop","category"
2020-07-19,1,"Just Stop Oil","GB","today+5-y","web",0
2020-07-26,1,"Just Stop Oil","GB","today+5-y","web",0
2020-08-02,0,"Just Stop Oil","GB","today+5-y","web",0
2020-08-09,0,"Just Stop Oil","GB","today+5-y","web",0
2020-08-16,0,"Just Stop Oil","GB","today+5-y","web",0
2020-08-23,1,"Just Stop Oil","GB","today+5-y","web",0
2020-08-30,0,"Just Stop Oil","GB","today+5-y","web",0
2020-09-06,1,"Just Stop Oil","GB","today+5-y","web",0
2020-09-13,0,"Just Stop Oil","GB","today+5-y","web",0
2020-09-20,1,"Just Stop Oil","GB","today+5-y","web",0
2020-09-27,0,"Just Stop Oil","GB","today+5-y","web",0
2020-10-04,0,"Just Stop Oil","GB","today+5-y","web",0
2020-10-11,1,"Just Stop Oil","GB","today+5-y","web",0
2020-10-18,1,"Just Stop Oil","GB","today+5-y","web",0
2020-10-25,0,"Just Stop Oil","GB","today+5-y","web",0
2020-11-01,0,"Just Stop Oil","GB","today+5-y","web",0
2020-11-08,0,"Just Stop Oil","GB","today+5-y","web",0
2020-11-15,0,"Just Stop Oil","GB","today+5-y","web",0
2020-11-22,0,"Just Stop Oil","GB","today+5-y","web",0
2020-11-29,1,"Just Stop Oil","GB","today+5-y","web",0
2020-12-06,0,"Just Stop Oil","GB","today+5-y","web",0
2020-12-13,0,"Just Stop Oil","GB","today+5-y","web",0
2020-12-20,0,"Just Stop Oil","GB","today+5-y","web",0
2020-12-27,0,"Just Stop Oil","GB","today+5-y","web",0
