"","data_id","iso","event_id_cnty","event_id_no_cnty","day","month","year","time_precision","event_type","sub_event_type","actor1","inter1","actor2","assoc_actor_2","inter2","interaction","region","country","admin1","admin2","admin3","location","latitude","longitude","geo_precision","source","source_scale","notes","fatalities","timestamp","iso3","event_code_per_group","action_group","date","climate","climate_protest"
"1508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1513",8418507,826,"GBR2226",2226,12,11,2020,1,"Protests","Peaceful protest","Protesters (United Kingdom)",6,"","",0,60,"Europe","United Kingdom","England","Greater London","Westminster","London - Westminster",51.4973,-0.1372,1,"Twitter; Scottish Express","New media-National","On 12 November 2020, Action for Climate Truth and Reparations activists scaled the Palace of Westminster in London - Westminster. They hung a giant open letter from the scaffolding calling for an honest acknowledgement of the harm and human cost of slavery and colonialism, truth and healing commissions, and reparations for slavery. The letter signed off by Africans Rising, Extinction Rebellion, Black Lives Matter, Action for Climate Truth and Reparations, and Women of Colour Global Women's Strike. [size=no report]",0,1628033320,"GBR",1,"Extinction Rebellion","2020-11-12","Y","Y"
"1514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1516",8419477,826,"GBR2219",2219,11,11,2020,1,"Protests","Peaceful protest","Protesters (United Kingdom)",6,"","",0,60,"Europe","United Kingdom","England","Greater London","Westminster","London - Westminster",51.4973,-0.1372,1,"The Argus","National","On 11 November 2020, people gathered in London - Westminster to protest against perceived inaction to tackle climate change. Members of Extinction Rebellion hung a wreath at the Cenotaph that had inscribed 'Honour Their Sacrificed, Climate Change Means War - Act Now'. [size=no report]",0,1628033323,"GBR",1,"Extinction Rebellion","2020-11-11","Y","Y"
"1517",7489941,826,"GBR2216",2216,10,11,2020,1,"Protests","Peaceful protest","Protesters (United Kingdom)",6,"","",0,60,"Europe","United Kingdom","England","Oxfordshire","Oxford","Headington",51.7602,-1.2112,1,"Oxford Mail","Subnational","On 10 November 2020, people gathered in Headington (Oxford) to protest plans for a new housing estate in a green area in nearby Lye Valley. Protesters claim that the project would lead to environmental problems such as land slips and a disruption of drainage. This event was organised by Friends of Lye Valley and Extinction Rebellion. [size=no report]",0,1618495340,"GBR",1,"Extinction Rebellion","2020-11-10","Y","Y"
"1518",8418898,826,"GBR2217",2217,10,11,2020,1,"Protests","Peaceful protest","Protesters (United Kingdom)",6,"","",0,60,"Europe","United Kingdom","England","Greater London","Tower Hamlets","London - Tower Hamlets",51.5099,-0.0059,1,"Energy Voice","Other","On 10 November 2020, protesters gathered outside Shell's London HQ in Isle of Dogs (London - Tower Hamlets) to protest against the company's alleged failure to execute an adequate clean-up operation in the Ogoni region of Nigeria after industry activity there and for their alleged role in the deaths of 9 Ogoni activists in 1995. Protesters, one dressed as the CEO of Shell, poured oil down a noose that they had hung in front of the building. This event was organised by Extinction Rebellion. [size=no report]",0,1628033321,"GBR",1,"Extinction Rebellion","2020-11-10","Y","Y"
"1519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
